count,pages_per_second,percentage_complete,memory in use
130000,86.77493850696113,26.281446591365754,45.3
140000,90.29111009846949,26.41921792188277,45.2
150000,93.71805435260868,26.561944964472655,45.1
160000,96.09529956718669,26.72446528162471,45.1
170000,98.51612338207926,26.898253189653452,45.5
180000,100.83905877523982,27.079890810411438,45.2
190000,102.95107080717771,27.265508210174243,45.4
200000,105.30608064277081,27.438003323749193,45.3
210000,107.40855184032112,27.602129071922292,45.4
220000,109.21536347123332,27.763939619570305,45.5
230000,110.93791321987007,27.92361663388771,45.5
240000,112.62798979634564,28.124565899901544,45.4
250000,114.03617982642231,28.305607821254352,45.4
10000,16.87160233689478,28.42521665714111,29.6
20000,30.79509125876467,28.56151352600984,29.5
30000,42.14875249398388,28.70377583856732,29.4
40000,51.862758893429294,28.83192303259498,29.5
50000,60.0846031375694,28.96524140443782,29.5
60000,67.22263894382372,29.10662072993372,29.5
70000,74.0250332449614,29.239584217024532,29.6
80000,79.45336088694823,29.37511216893055,29.6
90000,84.20312249498475,29.52936874114267,29.6
100000,88.71614281498572,29.674846140560724,29.6
110000,92.84293618043489,29.84589214139825,29.7
120000,96.39315791539396,30.01561999887113,29.8
130000,99.60826788211011,30.15143946325202,29.8
140000,102.93549267719781,30.295856433232487,29.9
150000,102.76735821350431,30.43734560400878,30.1
160000,106.93415137834381,30.542678778263614,30.0
170000,110.5204236386115,30.654691390529713,29.8
180000,113.39309579477127,30.800130766581486,29.9
190000,115.89919686517405,30.97139223316131,29.9
200000,118.08472897073257,31.117097772777097,29.9
210000,120.04627354794566,31.264780527439857,29.9
220000,121.43900268640604,31.414702435895137,29.8
230000,123.19332823302092,31.549507943841686,29.8
240000,124.86609574627334,31.704960139682637,29.9
250000,126.22345707524978,31.861126329846112,30.0
10000,15.211826956381106,32.03556485992023,29.7
20000,28.083738312075063,32.19472222156503,29.8
30000,38.87532341147772,32.35954506478675,29.8
40000,48.50874158945668,32.51310031713178,29.9
50000,56.75598548968249,32.680027119954765,29.8
60000,64.01817504930158,32.832897951706606,29.9
70000,70.63497887163501,32.99061465025094,29.8
80000,75.99734555112724,33.1613311152473,29.9
90000,81.36333298159632,33.30899697063616,29.9
100000,86.53299575202269,33.44351096610783,29.9
110000,91.15125366604296,33.58839266612071,30.3
120000,95.06422050042302,33.734246074383165,30.2
130000,98.82185754005546,33.8725877553945,30.2
140000,102.49872457153118,34.03166907030673,30.4
150000,106.19798010687516,34.19053914429513,30.2
160000,109.42813644011468,34.32622341448477,30.2
170000,112.50106650966457,34.46962642803089,30.2
180000,115.3207774689199,34.64994590542423,30.3
190000,117.73511225806512,34.80181545519715,30.4
200000,119.10918776935843,34.96630031294076,30.7
210000,121.13887502219507,35.123404412805996,30.3
220000,123.33194395224069,35.27438675069887,30.4
230000,126.743364923663,35.374514948590715,30.3
240000,128.43536313985146,35.53749577095671,30.4
250000,130.06645059629116,35.704794357805625,30.2
10000,14.447061340342872,35.83548911737458,25.2
20000,27.02616497717712,35.98311694939716,25.2
30000,37.64768092777555,36.14265876952331,25.3
40000,46.322428018490406,36.300041707408,25.3
50000,54.68103617411731,36.44611903104971,25.3
60000,62.10084492839842,36.58240322546302,25.2
70000,69.03924268045184,36.71688342238688,25.6
80000,74.9913622143684,36.86882901889238,26.4
90000,80.10159570178753,37.03140003386615,25.7
100000,84.9663494743226,37.194541399334234,25.7
110000,89.43921299770959,37.35470426777643,25.6
120000,93.19408851149609,37.523680107560494,25.7
130000,97.31735433108172,37.674392057070875,25.5
140000,101.01181568813598,37.818314723289596,25.6
150000,104.39636911591458,37.971109508308864,25.5
160000,107.71219678492908,38.1257589886393,25.5
170000,110.88632486567475,38.26978727531993,25.8
180000,113.9021413413781,38.43697601688846,25.5
190000,116.23408474611179,38.6050773192479,25.6
200000,118.56626388827736,38.793212710822665,25.6
210000,120.833612444317,38.983080277972775,25.6
220000,122.69971576842846,39.176040412247644,25.6
230000,124.72844096601327,39.343782605036594,25.5
240000,126.67219560154366,39.520726452467244,25.5
250000,128.45900593460465,39.70987157565788,25.6
10000,13.225913785183959,39.871779294130846,23.4
20000,25.03052898971092,40.010763147550605,23.3
30000,35.16926203492961,40.17757165545625,23.4
40000,44.01548466694932,40.3508737093602,23.5
50000,52.29995902479244,40.50382058784462,23.9
60000,59.710722361694096,40.676497368614065,23.7
70000,66.44209114483249,40.86213166765077,23.6
80000,72.73753966866752,41.039705013034414,23.7
90000,78.07680959605759,41.221465153528214,23.8
100000,82.86311528609791,41.40535037771567,23.5
110000,87.13075982288011,41.63503685900631,23.8
120000,91.32832017962554,41.8074010032085,23.4
130000,94.94373054280949,41.985679893277705,23.6
140000,98.43899102538079,42.18136926028836,23.7
150000,101.46499616294004,42.36555867140612,23.7
160000,104.48472518166109,42.543672793554755,23.7
170000,107.2350250753573,42.71897318659806,23.6
180000,110.2325279586136,42.89527063680182,23.7
190000,112.94084793678248,43.07463530521948,23.6
200000,115.66650855519808,43.25991471950416,23.7
210000,118.00321843425766,43.4629975188486,23.7
220000,120.02659192119305,43.663942560043964,23.6
230000,121.8454331387277,43.89281787618713,23.6
240000,123.87188166789505,44.04761100034576,23.7
250000,125.76573359235967,44.21633335102124,23.8
10000,12.337071903469058,44.42285092778704,27.1
20000,23.036154710543368,44.60493215448505,27.2
